project_name,classification,type,department_allocation
abaer-9b1f9ee9,Internal Use,Sandbox Cloud Individual Project,sales-cs
abuerer-a78a989f,Internal Use,Sandbox Cloud Individual Project,eng-support
acaiazza-8d287a40,Internal Use,Sandbox Cloud Individual Project,eng-infra
achueshev-4ed36838,Internal Use,Sandbox Cloud Individual Project,eng-dev
aconrad-ba73e1c7,Internal Use,Sandbox Cloud Individual Project,eng-support
acunskis-86cd54d2,Internal Use,Sandbox Cloud Individual Project,eng-quality
adess-821d175b,Internal Use,Sandbox Cloud Individual Project,sales-cs
agounder-7bb8105c,Internal Use,Sandbox Cloud Individual Project,eng-support
ahassanahmed-b6f57644,Internal Use,Sandbox Cloud Individual Project,eng-support
aherczeg-c7501b4e,Internal Use,Sandbox Cloud Individual Project,eng-dev
ahergenhan-ade04723,Internal Use,Sandbox Cloud Individual Project,eng-support
ahmad-f825a0e7,Internal Use,Sandbox Cloud Individual Project,eng-infra
akalderimis-a6e568f2,Internal Use,Sandbox Cloud Individual Project,eng-dev
alipniagov-c14e6039,Internal Use,Sandbox Cloud Individual Project,eng-dev
alockhart-bdf9420a,Internal Use,Sandbox Cloud Individual Project,eng-security
aluna-98d24398,Internal Use,Sandbox Cloud Individual Project,eng-dev
alyubenkov-8ee75f2f,Internal Use,Sandbox Cloud Individual Project,eng-quality
amichell-165e1cd9,Internal Use,Sandbox Cloud Individual Project,sales-cs
amulvany-7de7e8de,Internal Use,Sandbox Cloud Individual Project,eng-support
anazir-eb91a503,Internal Use,Sandbox Cloud Individual Project,eng-support
andlovu-da4f2d60,Internal Use,Sandbox Cloud Individual Project,eng-ux
anganga-5972de1f,Internal Use,Sandbox Cloud Individual Project,eng-infra
apatterson-c74dc3c3,Internal Use,Sandbox Cloud Individual Project,eng-dev
apierce-44a7f44f,Internal Use,Sandbox Cloud Individual Project,eng-support
areddy-9c1032f4,Internal Use,Sandbox Cloud Individual Project,eng-support
argdealba-14740914,Internal Use,Sandbox Cloud Individual Project,eng-support
arihant-1edae166,Internal Use,Sandbox Cloud Individual Project,eng-support
arosencrans-a4d54592,Internal Use,Sandbox Cloud Individual Project,sales-ps-consulting
asalii-4d470a0b,Internal Use,Sandbox Cloud Individual Project,eng-support
asalim-d9511744,Internal Use,Sandbox Cloud Individual Project,eng-dev
asmith-13c3de91,Internal Use,Sandbox Cloud Individual Project,eng-support
asori-44590710,Internal Use,Sandbox Cloud Individual Project,eng-dev
astarovoytov-5992b519,Internal Use,Sandbox Cloud Individual Project,eng-support
astrachan-80c27b0e,Internal Use,Sandbox Cloud Individual Project,eng-support
atanayno-4bfbd21c,Internal Use,Sandbox Cloud Individual Project,eng-support
atolba-5a4985be,Internal Use,Sandbox Cloud Individual Project,eng-infra
authomize-0efdaed2,Internal Use,Sandbox Cloud Individual Project,business-tech-realm
awinata-5ccb64c2,Internal Use,Sandbox Cloud Individual Project,eng-support
axil-635e068f,Internal Use,Sandbox Cloud Individual Project,eng-ux
ayeung-3aed10fa,Internal Use,Sandbox Cloud Individual Project,eng-infra
balasankar-7392e0f2,Internal Use,Sandbox Cloud Individual Project,eng-dev
bboots-ea1b3f1f,Internal Use,Sandbox Cloud Individual Project,eng-security
bcarbonell-6d302357,Internal Use,Sandbox Cloud Individual Project,eng-support
bcarranza-ad014234,Internal Use,Sandbox Cloud Individual Project,eng-support
bfreitas-0637e356,Internal Use,Sandbox Cloud Individual Project,eng-support
bhenzelmann-af13fc8f,Internal Use,Sandbox Cloud Individual Project,sales-cs
bjayes-9d526a35,Internal Use,Sandbox Cloud Individual Project,eng-support
bking-a7d60323,Internal Use,Sandbox Cloud Individual Project,eng-support
bleducmills-c2c131b8,Internal Use,Sandbox Cloud Individual Project,eng-ux
blee-ae97ab42,Internal Use,Sandbox Cloud Individual Project,sales-cs
bma-29352d20,Internal Use,Sandbox Cloud Individual Project,sales-cs
bnyaringita-369ecd0b,Internal Use,Sandbox Cloud Individual Project,eng-support
bob-24687565,Internal Use,Sandbox Cloud Individual Project,eng-infra
boleary-15e45293,Internal Use,Sandbox Cloud Individual Project,mktg-community
bsevy-27469a30,Internal Use,Sandbox Cloud Individual Project,eng-support
