Name,Index,Scope
Marketo Lead,1,Hit
Demandbase SID,2,Session
Company Name,3,Session
tags,4,Session
postType,5,Session
clientID,6,User
Audience,7,Session
Audience segment,8,Session
State,9,Session
City,10,Session
Country Name,11,Session
Marketing Alias,12,Session
Industry,13,Session
Sub Industry,14,Session
Revenue Range,15,Session
Employee Range,16,Session
Account Watch - Status,17,Session
Account Watch - Type,18,Session
Account Watch - Campaign Code,19,Session
Account Watch - Account Owner,20,Session
Click URL,21,Hit
Click Text,22,Hit
Click Classes,23,Hit
Referrer,24,Hit
tags v2,25,Hit
postType v2,26,Hit
Lead value,27,User
Lead status,28,User
Sales segment,29,User
Demandbase - SMB/MM Queries,30,Hit
BlogCategory,31,Hit
Internal Users,32,User
